ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB044,NMDS,31,Forest,Agriculture,Passive,0.3792066,0.2713574,0.3433777,0.1733186,0.126768,0.152542,9,9,-0.639008671,0.03403273
SB071,DCA,5,Forest,Agriculture,Passive,0.3173994,0.2793046,0.8170234,0.1244005,0.1388815,0.1716787,5,5,0.314246558,0.028357708
SB071,DCA,35,Forest,Agriculture,Passive,0.613626,0.2793046,2.369205,0.3355365,0.1388815,0.1535331,5,5,0.975800873,0.033918711
SB071,DCA,17,Forest,Agriculture,Passive,0.8773351,0.2793046,2.1207078,0.569839,0.1388815,0.360212,5,5,0.60623091,0.057197924
SB092,NMDS,15,Forest,Agriculture,Active,0.5585743,0.2950602,0.934759,0.278433,0.1513954,0.3631437,9,9,0.090785626,0.032085265
SB092,NMDS,15,Forest,Agriculture,Passive,0.8612576,0.2950602,1.0978932,0.4048262,0.1513954,0.4006428,9,9,-0.051847575,0.030319815
SB184,NMDS,5,Grassland,Pasture,Active,0.5791828,0.2987535,0.421067,0.4124201,0.1267875,0.3455871,9,8,-0.734782074,0.101972711
SB184,NMDS,10,Grassland,Pasture,Active,0.6312832,0.2987535,0.5333688,0.4234755,0.1267875,0.3725226,6,8,-0.55601093,0.118179158
SB136,NMDS,21,Forest,Agriculture,Passive,0.2504616,0.3028195,1.4495475,0.09800791,0.15392284,0.2226244,3,3,0.963140527,0.044120364
SB136,NMDS,7,Forest,Agriculture,Active,0.3393316,0.3028195,0.5662831,0.20010893,0.15392284,0.2090217,3,3,-0.125729504,0.096935903
SB130,NMDS,23,Forest,Monoculture plantation,Active,0.1757091,0.3057615,0.7757044,0.07499973,0.14359179,0.07636676,3,3,0.47692635,0.040967219
SB130,NMDS,13,Forest,Monoculture plantation,Active,0.3121949,0.3057615,0.5566433,0.13349825,0.14359179,0.18200248,3,3,-0.104493265,0.069189718
